"Country,Other",TotalCases,TotalDeaths,TotalRecovered,ActiveCases,Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,Active Cases/1M pop
UAE,893538,2302,873449,17787,88456.0,228.0,150358912,14884774.0,10101525,Asia,1761.0
Ecuador,863398,35461,,,47659.0,1957.0,2470170,136350.0,18116328,South America,21199.0
Costa Rica,841343,8327,820853,12163,162537.0,1609.0,4136613,799143.0,5176309,North America,2350.0
Guatemala,835213,17373,812444,5396,45144.0,939.0,4319488,233474.0,18500933,North America,292.0
Latvia,808341,5678,783926,18737,437093.0,3070.0,7099120,3838694.0,1849358,Europe,10132.0
Azerbaijan,792216,9703,782293,220,76909.0,942.0,6739008,654231.0,10300652,Asia,21.0
Panama,766758,8176,756295,2287,172898.0,1844.0,5752906,1297233.0,4434753,North America,516.0
New Zealand,760540,445,683925,76170,152044.0,89.0,6951558,1389728.0,5002100,Australia/Oceania,15228.0
Saudi Arabia,751717,9055,736910,5752,21014.0,253.0,41653980,1164441.0,35771640,Asia,161.0
Sri Lanka,662559,16489,642493,3577,30714.0,764.0,6368159,295206.0,21571897,Asia,166.0
Paraguay,648446,18734,624673,5039,88983.0,2571.0,2615453,358904.0,7287328,South America,691.0
Kuwait,630252,2555,626264,1433,143823.0,583.0,7948416,1813819.0,4382144,Asia,327.0
Myanmar,612278,19434,590809,2035,11121.0,353.0,7774213,141210.0,55054310,Asia,37.0
Palestine,581467,5351,575095,1021,109487.0,1008.0,3078533,579671.0,5310832,Asia,192.0
Dominican Republic,578416,4375,573896,145,52392.0,396.0,3243299,293774.0,11040115,North America,13.0
